participant,nuc_acc_to_nuc_acc,nuc_acc_to_caudate,nuc_acc_to_putamen,caudate_to_nuc_acc,caudate_to_caudate,caudate_to_putamen,putamen_to_nuc_acc,putamen_to_caudate,putamen_to_putamen
29,-0.0730556777773144,0.107050469345286,0.0582083669114074,0.118362193386467,-0.0947948692087653,0.0895995284324289,0.0708228123672555,0.101789464095301,-0.0637562023316885
30,-0.0467184391097848,0.0937118102734614,0.0498386277393277,0.0727748502168628,-0.109879659052444,0.103524552931009,0.03971249604334,0.115978848132491,-0.0469888375228561
31,-0.124909920282255,0.0167819055269993,0.0744942635724802,0.038459410573747,-0.0925871016589689,0.12660078151811,0.0964566852588564,0.121884461747072,-0.0886074571863692
32,-0.200382833364599,0.0487703100046346,0.112359862830264,0.0947344209286196,-0.17024248976671,0.129385447705319,0.182330854637421,0.10582091883947,-0.107311372485767
33,-0.170870788207027,0.0363102369213517,0.0694566754837004,0.101439971462081,-0.162693608403703,0.220540048487033,0.130329788598506,0.233937244588611,-0.131117190822071
34,-0.126157258988654,0.0186153826814421,0.125208471523552,0.0390584757492494,-0.118829133869045,0.0602864015922319,0.151997374793831,0.0422517357447323,-0.098477813037993
35,-0.103561329099977,0.0939665540533914,0.0932001105618646,0.118866375302543,-0.117234207710334,0.148504030418873,0.114707975845053,0.157284487900809,-0.0709267074353897
36,-0.237328738715814,0.0593973989619566,0.0662759879950022,0.0897906774118754,-0.126416745124273,0.103765295499519,0.0916157833271761,0.133277523329885,-0.0956191262565419
37,-0.0834530425517182,0.0825662055637163,0.0731269081858103,0.0881262761884763,-0.0546000331230995,0.0707678098322322,0.0777019092603548,0.0706998769599301,-0.0463430407317606
38,-0.108126507458082,0.153498271614594,0.1150483377975,0.169940688676737,-0.136955597836232,0.171690679772154,0.136636589490825,0.182770481032313,-0.104184762437217
39,-0.161956775889096,0.096216449849263,0.0604841339992337,0.0799885059737203,-0.162610693563845,0.134150330389672,0.0686397886243701,0.163690058727132,-0.0810474555242237
40,-0.125015721527313,0.164006103682993,0.161848529722303,0.159627541033084,-0.126485311392785,0.186454019219265,0.175869697966036,0.203372028434865,-0.100626847537989
41,-0.122583951632398,0.134313513076981,0.0880271738077201,0.141443241178998,-0.152848439600793,0.158924174335187,0.111229580759158,0.167681363828559,-0.108765342300749
42,-0.118896497521413,0.156252577961573,0.115775333395223,0.15880932076931,-0.131198479112749,0.177023763815964,0.136650872403128,0.191141724065422,-0.120766198228363
43,-0.206147861040865,-0.151055056418158,0.0404293673911044,-0.162252144161677,-0.240161388090041,0.153896325745409,0.0915804733309499,0.144263957210151,-0.151447462773831
44,-0.0396841807241514,0.00817193700889617,0.0322714859681636,0.00331114041928535,-0.0610385007272368,0.0132185493001588,0.0295133206094151,0.0191914973082395,-0.0342457463562167
45,-0.175640968868761,0.125602809161835,0.110759976182536,0.0988479444818128,-0.189576345764674,0.119777295644282,0.13382637967876,0.161661210745324,-0.116186398264732
46,-0.104516505648211,0.111552593886493,0.0730623313244119,0.0829347276176436,-0.188187210975578,0.117888042105612,0.0934744456457661,0.202770675281169,-0.0777667006302184
47,-0.194268845898867,0.0734237011828975,0.0960142103770182,0.0784619943075681,-0.217257955995001,0.175711603937625,0.116794327230176,0.215299576682598,-0.124726097798392
48,-0.101950941667136,0.184921104680274,0.136144784921727,0.171598447245974,-0.13945455317224,0.20107699845203,0.143300714741543,0.23166542517554,-0.109178769089881
49,-0.162318291870712,0.104190041973344,0.00823921616779025,0.140979163231342,-0.163900325016151,0.227082089223225,0.0537260167664804,0.247596955274798,-0.164091149287889
50,-0.141697322708314,0.145876049134646,0.0885057358128871,0.130615645430328,-0.150888031922954,0.0966438880806686,0.107218780948237,0.126973352194872,-0.0940879410943812
51,-0.101774941378687,0.19609177143415,0.100548174587077,0.175703176555373,-0.150139438911843,0.140897918529507,0.099214131727861,0.145828125499461,-0.0821824820514478
52,-0.109485300815197,0.195584906114228,0.112148067127219,0.170319627884017,-0.162112001020073,0.159863058334629,0.13224273426488,0.196510183832646,-0.0984853163931162
53,-0.0737279241593929,0.140640314640957,0.112418441930134,0.121277754541726,-0.107561277998102,0.136673911174883,0.109677036117324,0.152742748411688,-0.0782118720778466
54,-0.120086875918017,0.1571866689258,0.100519666996851,0.150273282240817,-0.17041046323189,0.162546534114165,0.134833359207114,0.199379099926672,-0.127050466538369
55,-0.117727178387912,0.246579286219108,0.104489784610936,0.1923399774677,-0.149269092556698,0.0995948211179332,0.110672685335286,0.12689374877837,-0.0739418686663929
56,-0.195222610539251,0.0576531681085823,0.0146694802451539,0.0650649545563987,-0.199130447674697,0.166066282548552,0.0276619843965221,0.23039041132625,-0.138685821497847
57,-0.102427785193145,0.178765861008377,0.141324528449922,0.179599134379836,-0.149134071472238,0.176328676437389,0.15921268585291,0.194309926108905,-0.0977628111281542
58,-0.158506728269121,0.217260822115764,0.110192814735814,0.170912798873414,-0.203534099019899,0.0873622694224524,0.107831992181837,0.110224224951225,-0.131074342988006
59,-0.135545854062148,0.195897989615733,0.118668452479388,0.166758618349497,-0.15324618011141,0.131489679497509,0.113129218589202,0.159616502501772,-0.10170203302818
60,-0.159720399920721,0.0454825371900118,0.0828337179594729,0.0315865997095853,-0.175250995258791,0.0247828877681437,0.106755770905068,0.0398754489969858,-0.0765160531856962
61,-0.16217826950724,0.126707648131715,0.120616914492662,0.140144534172414,-0.160206478528701,0.108966368218318,0.138148658162234,0.113758276725943,-0.105201928945454
62,-0.116090488909801,0.333094144547277,0.10531991999346,0.228946684553655,-0.211086851441986,0.127652275994764,0.0526568989793408,0.118793750660867,-0.0749402214005241
63,-0.156469844798215,0.140421780053754,0.152620174480626,0.142971952726062,-0.171761678398783,0.157859243315793,0.148482743590101,0.147770596958199,-0.131838860781636
64,-0.147221599699828,0.136040391161631,0.105463791006608,0.128208769846916,-0.179263233022324,0.191159073183415,0.124222902353214,0.211440707078759,-0.145160825794871
65,-0.148004132462246,0.192208550327601,0.0935292079541396,0.167990134869396,-0.188619683060989,0.167311984488978,0.0939383062922956,0.154142984308162,-0.148879976407519
66,-0.144751224115617,0.108987715097055,0.121091725777561,0.119245611067641,-0.124739361940654,0.156934735841043,0.136051153032749,0.172951827551528,-0.113635407479898
67,-0.210566734996066,0.0776729541724056,0.0787986276802894,0.100798426357371,-0.192207709148804,0.155042976355551,0.116006980194742,0.181689635876037,-0.116285669268474
68,-0.100270857252281,0.161742495811251,0.152682596745419,0.159830230785244,-0.113555470398998,0.181668536176808,0.155868083435152,0.190202564829345,-0.109816222511089
69,-0.10392612203072,0.169024405147973,0.151583718123162,0.152533787029042,-0.137077894261734,0.143919017854537,0.160028633121903,0.168325041828163,-0.103571327590946
70,-0.189222123734522,-0.0245470058518143,0.117475773023199,-0.0135347006682535,-0.13502122933654,0.140168652253895,0.169317445540369,0.14325675421279,-0.11513246390756
71,-0.111710341130996,0.213690299471534,0.0872090000165993,0.156397606238209,-0.212707177103227,0.10886069034298,0.094236157251291,0.166490974157291,-0.0726659791777992
72,-0.0986985678875883,0.180245720120736,0.143641631062555,0.168908291118571,-0.118677618377933,0.176328932645591,0.145892222084325,0.192811663893103,-0.0992087888656066
73,-0.156773945742851,0.102812019794996,0.147271692918439,0.118296740759647,-0.138688746560244,0.147525111943218,0.189633703676844,0.174767460869832,-0.117106832176836
74,-0.173800813908526,0.112841518395253,0.0910006665483785,0.164701539643721,-0.161961168224937,0.142279623212773,0.142895424569563,0.158434547879913,-0.1188303298646
